[12:36:08] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:09] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:10] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:11] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:12] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:13] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:14] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:15] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:16] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:17] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:36:18] [Low] [Telemetry] ALT: 0ft | SPD: 16kts | HDG: 360° | PITCH: 0.0°
[12:36:19] [Low] [Telemetry] ALT: 0ft | SPD: 32kts | HDG: 360° | PITCH: 0.0°
[12:36:20] [Low] [Telemetry] ALT: 0ft | SPD: 45kts | HDG: 360° | PITCH: 0.0°
[12:36:21] [Low] [Telemetry] ALT: 0ft | SPD: 56kts | HDG: 360° | PITCH: 0.0°
[12:36:22] [Low] [Telemetry] ALT: 0ft | SPD: 64kts | HDG: 360° | PITCH: 0.0°
[12:36:23] [Low] [Telemetry] ALT: 0ft | SPD: 71kts | HDG: 360° | PITCH: 0.0°
[12:36:24] [Low] [Telemetry] ALT: 0ft | SPD: 77kts | HDG: 360° | PITCH: 0.0°
[12:36:25] [Low] [Telemetry] ALT: 0ft | SPD: 82kts | HDG: 360° | PITCH: 0.0°
[12:36:26] [Low] [Telemetry] ALT: 0ft | SPD: 86kts | HDG: 360° | PITCH: 0.0°
[12:36:27] [Low] [Telemetry] ALT: 0ft | SPD: 89kts | HDG: 360° | PITCH: 0.0°
[12:36:47] [Low] [Telemetry] ALT: 0ft | SPD: 134kts | HDG: 360° | PITCH: 0.0°
[12:36:48] [Low] [Telemetry] ALT: 0ft | SPD: 171kts | HDG: 360° | PITCH: 0.0°
[12:36:49] [Low] [Telemetry] ALT: 0ft | SPD: 196kts | HDG: 360° | PITCH: 0.0°
[12:36:50] [High] [Anomalies] !! WARNING: FUEL LEAK detected -- 84 kg/h loss rate !!
[12:36:50] [Low] [Telemetry] ALT: 1ft | SPD: 217kts | HDG: 360° | PITCH: 2.0°
[12:36:50] [Low] [Telemetry] ALT: 8ft | SPD: 234kts | HDG: 360° | PITCH: 2.0°
[12:37:02] [Low] [Telemetry] ALT: 16ft | SPD: 247kts | HDG: 360° | PITCH: 2.0°
[12:37:03] [Low] [Telemetry] ALT: 25ft | SPD: 259kts | HDG: 360° | PITCH: 2.0°
[12:37:04] [Low] [Telemetry] ALT: 34ft | SPD: 268kts | HDG: 360° | PITCH: 2.0°
[12:37:05] [Low] [Telemetry] ALT: 43ft | SPD: 275kts | HDG: 360° | PITCH: 2.0°
[12:37:06] [Low] [Telemetry] ALT: 52ft | SPD: 282kts | HDG: 360° | PITCH: 2.0°
[12:37:07] [Low] [Telemetry] ALT: 61ft | SPD: 287kts | HDG: 360° | PITCH: 2.0°
[12:37:08] [Low] [Telemetry] ALT: 71ft | SPD: 291kts | HDG: 360° | PITCH: 2.0°
[12:37:09] [Low] [Telemetry] ALT: 81ft | SPD: 294kts | HDG: 360° | PITCH: 2.0°
[12:37:10] [Low] [Telemetry] ALT: 91ft | SPD: 297kts | HDG: 360° | PITCH: 2.0°
[12:37:11] [Low] [Telemetry] ALT: 101ft | SPD: 299kts | HDG: 360° | PITCH: 2.0°
[12:37:12] [Low] [Telemetry] ALT: 111ft | SPD: 301kts | HDG: 360° | PITCH: 2.0°
[12:37:13] [Low] [Telemetry] ALT: 121ft | SPD: 302kts | HDG: 360° | PITCH: 2.0°
[12:37:14] [Low] [Telemetry] ALT: 131ft | SPD: 304kts | HDG: 360° | PITCH: 2.0°
[12:37:15] [Low] [Telemetry] ALT: 141ft | SPD: 305kts | HDG: 360° | PITCH: 2.0°
[12:37:17] [Low] [Telemetry] ALT: 151ft | SPD: 305kts | HDG: 360° | PITCH: 2.0°
[12:37:18] [Low] [Telemetry] ALT: 161ft | SPD: 306kts | HDG: 360° | PITCH: 2.0°
