Timestamp,Altitude,Speed,VerticalSpeed,Heading,Throttle,EngineRPMs,FuelLevelKg
11:31:13,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:13,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:14,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.0,0,270.0,0.00,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.1,0,270.0,0.10,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.4,0,270.0,0.20,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,0.6,0,270.0,0.20,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,1.0,0,270.0,0.30,0.0,0.0,15000,1.00,0.0,0.0
11:31:15,0,1.3,0,270.0,0.30,0.0,0.0,15000,1.00,0.0,0.0
